"name","player","pos","team","overallRank","projections","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_nfl","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk","positionRank","vor"
"JAMAALCHARLES","Jamaal Charles","RB","KC",1,264.536841136094,293.2,252.9,250.7,261.6,NA,270.6,268.3,243.8,249.5,260.508333333333,264.536841136094,2.07077640786405,15.9534814830046,1.1913,3.50612456496145,1,146.508087004113
"LESEANMCCOY","LeSean McCoy","RB","PHI",2,253.800425004237,280.2,238.8,246.4,257.4,NA,270,259,251.6,230.1,254.954166666667,253.800425004237,1.70389870043319,16.2326335773695,1.00941766901095,3.52160806103441,2,135.771670872256
"MATTFORTE","Matt Forte","RB","CHI",3,241.945482379613,258.8,238.4,240.3,243.1,NA,232.6,230.5,238.7,225.3,239.179166666667,241.945482379613,4.10129956681106,10.0681871683607,1.29197322556544,2.79184671588693,3,123.916728247632
"PEYTONMANNING","Peyton Manning","QB","DEN",4,443.704598976852,447.76,448.28,471,449.5,NA,437.92,462.98,437.98,435.32,447.8675,443.704598976852,17.9668777074309,12.6089375897756,7.9565,3.79697162708814,1,122.75059466837
"ADRIANPETERSON","Adrian Peterson","RB","MIN",5,237.811174837943,246.6,218.6,255.4,239.7,NA,244,236.2,252,229.8,239.679166666667,237.811174837943,2.87922359213596,12.0510150728357,1.2913,3.03594885139403,4,119.782420705962
"CALVINJOHNSON","Calvin Johnson","WR","DET",6,228.925278987425,231.8,231,238.4,227.4,NA,230.5,219.7,238.7,203.8,228.079166666667,228.925278987425,5.90454848383872,11.3786689530392,1.4413,2.96873449029245,1,104.963811091789
"EDDIELACY","Eddie Lacy","RB","GB",7,221.100909908158,244.9,195.9,218.1,220.6,NA,242.7,206.6,234.6,223.1,222.8875,221.100909908158,6.0240253248917,17.048790279665,1.4413,3.66697220597328,5,103.072155776178
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",8,219.674890047265,214,224.6,218,219.7,NA,233,222.9,218.3,196.4,218.879166666667,219.674890047265,9.92989003665445,10.5360520526971,2.0413,2.92729418590225,2,95.7134221516286
"DREWBREES","Drew Brees","QB","NO",9,412.876691880523,410.6,422.42,411.6,418.08,NA,401.92,417.42,416.22,405.78,413.11,412.876691880523,24.7747250916361,6.83543498459107,4.9826,2.77710241445999,2,91.9226875720406
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",10,209.725370318349,238.2,192,195.4,208.8,NA,211.6,212.6,206.9,195.3,206.75,209.725370318349,14.2311562812396,14.7492372684149,3.0413,3.54999051413722,6,91.6966161863685
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",11,208.825566173775,202.3,185.4,234.4,203.8,NA,225.4,206.6,231.2,204.9,210.883333333333,208.825566173775,10.0448017327557,16.8942932038349,2.8413,3.79336576042701,7,90.7968120417946
"JIMMYGRAHAM","Jimmy Graham","TE","NO",12,194.812061207261,202.9,201.8,189.5,189.5,NA,220,180.6,192.5,184.2,195.325,194.812061207261,9.66494501832722,12.6732282503597,3.9239,3.38602000856952,1,89.0369221029837
