"name","name_espn","pos","team_espn","positionRank_espn","overallRank_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","twoPts_espn","fumbles_espn","pts_espn"
"BENTATE","Ben Tate","RB","CLE",16,56,0,0,0,0,0,1026,7,40,311,0,NA,NA,169
"FRANKGORE","Frank Gore","RB","SF",19,56,0,0,0,0,0,1123,8,15,130,0,NA,NA,169
"CJSPILLER","C.J. Spiller","RB","BUF",18,58,0,0,0,0,0,1001,5,37,316,1,NA,NA,165
"ANDREELLINGTON","Andre Ellington","RB","ARI",20,58,0,0,0,0,0,867,3,48,457,3,NA,NA,165
"JULIUSTHOMAS","Julius Thomas","TE","DEN",2,60,0,0,0,0,0,0,0,72,923,12,NA,NA,164
"RYANMATHEWS","Ryan Mathews","RB","SD",17,61,0,0,0,0,0,1065,7,19,176,0,NA,NA,163
"JAKELOCKER","Jake Locker","QB","TEN",28,62,347,209,2413,14,9,262,1,0,0,0,NA,NA,162
"RAYRICE","Ray Rice","RB","BAL",23,63,0,0,0,0,0,901,6,54,330,1,NA,NA,161
"JOIQUEBELL","Joique Bell","RB","DET",27,64,0,0,0,0,0,812,6,43,417,1,NA,NA,160
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",32,65,402,245,2645,15,13,208,1,0,0,0,NA,NA,157
"CHRISJOHNSON","Chris Johnson","RB","NYJ",25,65,0,0,0,0,0,802,6,38,330,2,NA,NA,157
"STEVANRIDLEY","Stevan Ridley","RB","NE",29,67,0,0,0,0,0,1107,8,8,60,0,NA,NA,156
"RASHADJENNINGS","Rashad Jennings","RB","NYG",24,68,0,0,0,0,0,960,7,31,218,0,NA,NA,155
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",13,69,0,0,0,0,0,11,0,88,1057,8,NA,NA,154
"TOBYGERHART","Toby Gerhart","RB","JAC",22,70,0,0,0,0,0,931,6,33,253,0,NA,NA,150
"KEENANALLEN","Keenan Allen","WR","SD",15,70,0,0,0,0,0,0,0,85,1045,8,NA,NA,150
"GENOSMITH","Geno Smith","QB","NYJ",27,72,270,162,1819,15,11,251,3,0,0,0,NA,NA,149
"STEVENJACKSON","Steven Jackson","RB","ATL",26,72,0,0,0,0,0,877,6,27,221,1,NA,NA,149
"PIERREGARCON","Pierre Garcon","WR","WAS",14,74,0,0,0,0,0,19,0,96,1129,6,NA,NA,147
"DESEANJACKSON","DeSean Jackson","WR","WAS",18,74,0,0,0,0,0,26,0,65,1031,7,NA,NA,147
"SHANEVEREEN","Shane Vereen","RB","NE",28,76,0,0,0,0,0,436,2,72,687,4,NA,NA,145
"VICTORCRUZ","Victor Cruz","WR","NYG",16,77,0,0,0,0,0,0,0,80,1042,7,NA,NA,144
"TORREYSMITH","Torrey Smith","WR","BAL",22,78,0,0,0,0,0,12,0,61,1056,6,NA,NA,142
"MICHAELCRABTREE","Michael Crabtree","WR","SF",21,79,0,0,0,0,0,12,0,80,1043,6,NA,NA,141
"RODDYWHITE","Roddy White","WR","ATL",17,80,0,0,0,0,0,0,0,80,1004,7,NA,NA,140
"TYHILTON","T.Y. Hilton","WR","IND",27,80,0,0,0,0,0,26,0,74,1087,5,NA,NA,140
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",3,80,0,0,0,0,0,0,0,63,920,8,NA,NA,140
"GOLDENTATE","Golden Tate","WR","DET",31,83,0,0,0,0,0,50,0,84,1041,5,NA,NA,139
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",24,84,0,0,0,0,0,104,1,73,814,7,NA,NA,137
"MICHAELVICK","Michael Vick","QB","NYJ",29,85,244,138,1843,11,9,298,2,0,0,0,NA,NA,136
"JULIANEDELMAN","Julian Edelman","WR","NE",25,85,0,0,0,0,0,34,0,96,935,7,NA,NA,136
"MICHAELFLOYD","Michael Floyd","WR","ARI",23,87,0,0,0,0,0,0,0,70,1076,5,NA,NA,135
"WESWELKER","Wes Welker","WR","DEN",19,88,0,0,0,0,0,0,0,76,998,6,NA,NA,133
"REGGIEWAYNE","Reggie Wayne","WR","IND",28,89,0,0,0,0,0,0,0,90,1108,4,NA,NA,132
"MIKEWALLACE","Mike Wallace","WR","MIA",34,90,0,0,0,0,0,31,0,76,986,5,NA,NA,131
"VERNONDAVIS","Vernon Davis","TE","SF",4,90,0,0,0,0,0,0,0,56,835,11,NA,NA,131
"KNOWSHONMORENO","Knowshon Moreno","RB","MIA",40,92,0,0,0,0,0,710,5,31,240,1,NA,NA,129
"JORDANCAMERON","Jordan Cameron","TE","CLE",6,92,0,0,0,0,0,0,0,74,879,7,NA,NA,129
"ERICDECKER","Eric Decker","WR","NYJ",35,94,0,0,0,0,0,0,0,64,947,6,NA,NA,128
"DENNISPITTA","Dennis Pitta","TE","BAL",8,94,0,0,0,0,0,0,0,73,800,8,NA,NA,128
"PERCYHARVIN","Percy Harvin","WR","SEA",20,96,0,0,0,0,0,81,1,77,916,4,NA,NA,127
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",26,96,0,0,0,0,0,0,0,63,875,7,NA,NA,127
"KENDALLWRIGHT","Kendall Wright","WR","TEN",32,96,0,0,0,0,0,8,0,91,1051,4,NA,NA,127
"SAMMYWATKINS","Sammy Watkins","WR","BUF",33,96,0,0,0,0,0,42,0,65,893,6,NA,NA,127
"TERRANCEWILLIAMS","Terrance Williams","WR","DAL",36,96,0,0,0,0,0,19,0,57,928,6,NA,NA,127
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",30,101,0,0,0,0,0,19,0,77,971,5,NA,NA,126
"MATTSCHAUB","Matt Schaub","QB","OAK",30,102,388,230,2475,12,12,41,0,0,0,0,NA,NA,125
"BISHOPSANKEY","Bishop Sankey","RB","TEN",30,102,0,0,0,0,0,745,5,26,191,1,NA,NA,125
"MARQUESCOLSTON","Marques Colston","WR","NO",29,104,0,0,0,0,0,0,0,73,907,6,NA,NA,124
"DANNYWOODHEAD","Danny Woodhead","RB","SD",39,105,0,0,0,0,0,385,1,67,534,5,NA,NA,123
"JASONWITTEN","Jason Witten","TE","DAL",5,105,0,0,0,0,0,0,0,74,818,7,NA,NA,123
"CHADHENNE","Chad Henne","QB","JAC",31,107,366,216,2435,11,12,79,0,0,0,0,NA,NA,122
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",35,107,0,0,0,0,0,814,3,23,210,1,NA,NA,122
"ANQUANBOLDIN","Anquan Boldin","WR","SF",38,109,0,0,0,0,0,14,0,69,967,4,NA,NA,121
"MAURICEJONESDREW","Maurice Jones-Drew","RB","OAK",32,110,0,0,0,0,0,559,6,36,260,1,NA,NA,119
"DEANDREHOPKINS","DeAndre Hopkins","WR","HOU",39,110,0,0,0,0,0,0,0,64,970,4,NA,NA,119
"PIERRETHOMAS","Pierre Thomas","RB","NO",31,112,0,0,0,0,0,380,2,69,469,4,NA,NA,118
"CECILSHORTS","Cecil Shorts","WR","JAC",37,112,0,0,0,0,0,0,0,63,882,5,NA,NA,118
"GREGOLSEN","Greg Olsen","TE","CAR",7,114,0,0,0,0,0,0,0,70,842,5,NA,NA,114
"RILEYCOOPER","Riley Cooper","WR","PHI",40,115,0,0,0,0,0,0,0,50,816,5,NA,NA,111
"FREDJACKSON","Fred Jackson","RB","BUF",33,116,0,0,0,0,0,563,4,36,286,1,NA,NA,110
"MATTCASSEL","Matt Cassel","QB","MIN",33,117,252,154,1702,11,8,102,1,0,0,0,NA,NA,106
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",9,118,0,0,0,0,0,0,0,56,576,8,NA,NA,105
"DWAYNEBOWE","Dwayne Bowe","WR","KC",44,119,0,0,0,0,0,0,0,57,673,6,NA,NA,103
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",11,119,0,0,0,0,0,0,0,63,735,5,NA,NA,103
"JORDANREED","Jordan Reed","TE","WAS",10,121,0,0,0,0,0,0,0,61,689,6,NA,NA,102
"HAKEEMNICKS","Hakeem Nicks","WR","IND",46,122,0,0,0,0,0,0,0,47,761,4,NA,NA,100
"MIKEEVANS","Mike Evans","WR","TB",47,122,0,0,0,0,0,0,0,55,842,3,NA,NA,100
"GREGJENNINGS","Greg Jennings","WR","MIN",42,124,0,0,0,0,0,0,0,66,752,4,NA,NA,99
