"name","name_espn","pos","team_espn","positionRank_espn","overallRank_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","twoPts_espn","fumbles_espn","pts_espn"
"ANDREWQUARLESS","Andrew Quarless","TE","GB",28,222,0,0,0,0,0,0,0,38,387,2,NA,NA,50
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",30,222,0,0,0,0,0,0,0,32,324,3,NA,NA,50
"ALLENROBINSON","Allen Robinson","WR","JAC",97,225,0,0,0,0,0,0,0,29,371,2,NA,NA,49
"BLAKEBORTLES","Blake Bortles","QB","JAC",38,226,142,79,884,6,8,59,1,0,0,0,NA,NA,48
"JONATHANDWYER","Jonathan Dwyer","RB","ARI",68,226,0,0,0,0,0,334,2,8,59,0,NA,NA,48
"MARTAVISBRYANT","Martavis Bryant","WR","PIT",98,226,0,0,0,0,0,0,0,27,380,2,NA,NA,48
"MARCEDESLEWIS","Marcedes Lewis","TE","JAC",37,226,0,0,0,0,0,0,0,36,368,2,NA,NA,48
"TRAVISKELCE","Travis Kelce","TE","KC",38,226,0,0,0,0,0,0,0,30,365,2,NA,NA,48
"LANCEDUNBAR","Lance Dunbar","RB","DAL",67,231,0,0,0,0,0,218,2,15,88,1,NA,NA,47
"BRENTCELEK","Brent Celek","TE","PHI",39,231,0,0,0,0,0,0,0,30,355,2,NA,NA,47
"BRYCEBROWN","Bryce Brown","RB","BUF",65,233,0,0,0,0,0,328,2,7,43,0,NA,NA,46
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",76,233,0,0,0,0,0,145,0,38,287,1,NA,NA,46
"JASONAVANT","Jason Avant","WR","CAR",95,233,0,0,0,0,0,0,0,35,361,2,NA,NA,46
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",81,236,0,0,0,0,0,277,0,27,204,0,NA,NA,45
"BRANDONBOSTICK","Brandon Bostick","TE","GB",34,236,0,0,0,0,0,0,0,26,334,2,NA,NA,45
"ZACHMILLER","Zach Miller","TE","SEA",35,236,0,0,0,0,0,0,0,34,390,1,NA,NA,45
"BRANDONBOLDEN","Brandon Bolden","RB","NE",72,239,0,0,0,0,0,250,2,15,76,0,NA,NA,44
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",78,239,0,0,0,0,0,276,2,6,50,0,NA,NA,44
"DAVANTEADAMS","Davante Adams","WR","GB",92,241,0,0,0,0,0,0,0,26,334,2,NA,NA,43
"GREGLITTLE","Greg Little","WR","OAK",93,241,0,0,0,0,0,0,0,26,330,2,NA,NA,43
"JERMICHAELFINLEY","Jermichael Finley","TE","GB",31,241,0,0,0,0,0,0,0,28,313,2,NA,NA,43
"BRANDONPETTIGREW","Brandon Pettigrew","TE","DET",33,241,0,0,0,0,0,0,0,24,257,3,NA,NA,43
"BILALPOWELL","Bilal Powell","RB","NYJ",88,245,0,0,0,0,0,232,1,20,131,0,NA,NA,42
"MILESAUSTIN","Miles Austin","WR","CLE",96,245,0,0,0,0,0,0,0,22,321,2,NA,NA,42
"JOHNCARLSON","John Carlson","TE","ARI",40,245,0,0,0,0,0,0,0,27,300,2,NA,NA,42
"AJJENKINS","A.J. Jenkins","WR","KC",109,248,0,0,0,0,0,6,0,24,376,1,NA,NA,41
"CJFIEDOROWICZ","C.J. Fiedorowicz","TE","HOU",36,248,0,0,0,0,0,0,0,20,234,3,NA,NA,41
"JONATHANGRIMES","Jonathan Grimes","RB","HOU",73,250,0,0,0,0,0,296,1,9,59,0,NA,NA,40
"STEPFANTAYLOR","Stepfan Taylor","RB","ARI",75,250,0,0,0,0,0,211,2,11,70,0,NA,NA,40
"ACESANDERS","Ace Sanders","WR","JAC",101,250,0,0,0,0,0,16,0,36,338,1,NA,NA,40
"JAMESWHITE","James White","RB","NE",80,253,0,0,0,0,0,198,1,13,101,1,NA,NA,39
"BENJARVUSGREENELLIS","BenJarvus Green-Ellis","RB","CIN",63,254,0,0,0,0,0,250,2,2,14,0,NA,NA,38
"SHAUNHILL","Shaun Hill","QB","STL",39,255,79,50,576,5,4,34,0,0,0,0,NA,NA,36
"BOBBYRAINEY","Bobby Rainey","RB","TB",74,255,0,0,0,0,0,317,0,9,58,0,NA,NA,36
"MIKEGLENNON","Mike Glennon","QB","TB",36,257,78,49,546,6,6,41,0,0,0,0,NA,NA,35
"KIRKCOUSINS","Kirk Cousins","QB","WAS",37,257,87,51,566,5,3,17,0,0,0,0,NA,NA,35
"JERICKMCKINNON","Jerick McKinnon","RB","MIN",77,259,0,0,0,0,0,108,1,19,123,1,NA,NA,34
"CHRISPOLK","Chris Polk","RB","PHI",64,260,0,0,0,0,0,208,1,11,70,0,NA,NA,33
"DEANTHONYTHOMAS","De'Anthony Thomas","RB","KC",94,261,0,0,0,0,0,43,0,32,244,1,NA,NA,32
"VINCENTBROWN","Vincent Brown","WR","SD",100,261,0,0,0,0,0,0,0,22,262,1,NA,NA,32
"ANDREBROWN","Andre Brown","RB","HOU",82,263,0,0,0,0,0,163,2,11,59,0,NA,NA,31
"JOSEPHRANDLE","Joseph Randle","RB","DAL",85,263,0,0,0,0,0,185,1,13,72,0,NA,NA,31
"MATTASIATA","Matt Asiata","RB","MIN",87,265,0,0,0,0,0,190,2,3,16,0,NA,NA,30
"RONNIEBROWN","Ronnie Brown","RB","SD",86,266,0,0,0,0,0,116,0,18,128,1,NA,NA,29
"DANIELTHOMAS","Daniel Thomas","RB","MIA",79,267,0,0,0,0,0,187,1,9,62,0,NA,NA,28
"PEYTONHILLIS","Peyton Hillis","RB","NYG",96,267,0,0,0,0,0,160,1,8,61,0,NA,NA,28
"ISAIAHCROWELL","Isaiah Crowell","RB","CLE",83,269,0,0,0,0,0,149,1,11,68,0,NA,NA,26
"ROBERTTURBIN","Robert Turbin","RB","SEA",70,270,0,0,0,0,0,131,1,7,45,0,NA,NA,23
"MIKEJAMES","Mike James","RB","TB",90,270,0,0,0,0,0,197,1,2,9,0,NA,NA,23
"THEORIDDICK","Theo Riddick","RB","DET",95,272,0,0,0,0,0,108,1,10,65,0,NA,NA,22
"LACHESEASTRUNK","Lache Seastrunk","RB","WAS",99,272,0,0,0,0,0,151,1,2,17,0,NA,NA,22
"LORENZOTALIAFERRO","Lorenzo Taliaferro","RB","BAL",93,274,0,0,0,0,0,123,1,6,37,0,NA,NA,21
"DENARDROBINSON","Denard Robinson","RB","JAC",84,275,0,0,0,0,0,155,1,3,18,0,NA,NA,20
"SHAUNDRAUGHN","Shaun Draughn","RB","CHI",89,276,0,0,0,0,0,112,0,12,78,0,NA,NA,18
"MARCUSLATTIMORE","Marcus Lattimore","RB","SF",98,276,0,0,0,0,0,103,1,4,26,0,NA,NA,18
"EDWINBAKER","Edwin Baker","RB","CLE",100,278,0,0,0,0,0,75,1,6,46,0,NA,NA,17
"KENJONBARNER","Kenjon Barner","RB","CAR",101,278,0,0,0,0,0,108,0,11,71,0,NA,NA,17
"STORMJOHNSON","Storm Johnson","RB","JAC",92,280,0,0,0,0,0,120,0,5,36,0,NA,NA,15
"TRAVARISCADET","Travaris Cadet","RB","NO",91,281,0,0,0,0,0,79,0,12,79,0,NA,NA,14
"CHARLESSIMS","Charles Sims","RB","TB",117,282,0,0,0,0,0,25,0,6,44,1,NA,NA,12
"RYANWILLIAMS","Ryan Williams","RB","DAL",97,283,0,0,0,0,0,64,0,5,36,0,NA,NA,9
"MARKSANCHEZ","Mark Sanchez","QB","PHI",40,284,26,14,153,2,3,6,0,0,0,0,NA,NA,6
"DANHERRON","Dan Herron","RB","IND",102,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"JUSTINFORSETT","Justin Forsett","RB","BAL",103,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"DIONLEWIS","Dion Lewis","RB","CLE",104,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"DUJUANHARRIS","DuJuan Harris","RB","GB",105,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"MIKEGILLISLEE","Mike Gillislee","RB","MIA",106,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"CIERREWOOD","Cierre Wood","RB","BAL",107,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"DRIARCHER","Dri Archer","RB","PIT",108,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"CHRISTHOMPSON","Chris Thompson","RB","WAS",109,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"DARYLRICHARDSON","Daryl Richardson","RB","NYJ",110,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"MIKELLESHOURE","Mikel Leshoure","RB","DET",111,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"LAMICHAELJAMES","LaMichael James","RB","SF",112,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"ISAIAHPEAD","Isaiah Pead","RB","STL",113,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"MICHAELCOX","Michael Cox","RB","NYG",114,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"CHRISOGBONNAYA","Chris Ogbonnaya","RB","CLE",115,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"ANTONESMITH","Antone Smith","RB","ATL",116,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"MARIONGRICE","Marion Grice","RB","SD",118,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"DENNISJOHNSON","Dennis Johnson","RB","HOU",119,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"DAVIDWILSON","David Wilson","RB","NYG",120,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"CODYLATIMER","Cody Latimer","WR","DEN",102,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"JOHNBROWN","John Brown","WR","ARI",103,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"JACOBYJONES","Jacoby Jones","WR","BAL",104,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"JOSHBOYCE","Josh Boyce","WR","NE",105,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"DAVIDNELSON","David Nelson","WR","NYJ",106,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"KRISDURHAM","Kris Durham","WR","DET",107,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"RYANBROYLES","Ryan Broyles","WR","DET",108,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"JOSHMORGAN","Josh Morgan","WR","CHI",110,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"CHRISOWUSU","Chris Owusu","WR","TB",111,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"STEPHENHILL","Stephen Hill","WR","NYJ",112,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"DEVIERPOSEY","DeVier Posey","WR","HOU",113,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"MARQUISEGOODWIN","Marquise Goodwin","WR","BUF",114,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"DWAYNEHARRIS","Dwayne Harris","WR","DAL",115,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"AUSTINPETTIS","Austin Pettis","WR","STL",116,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"ANDRECALDWELL","Andre Caldwell","WR","DEN",117,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"TRAVISBENJAMIN","Travis Benjamin","WR","CLE",118,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"ROBERTMEACHEM","Robert Meachem","WR","NO",119,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"MIKEBROWN","Mike Brown","WR","JAC",120,285,0,0,0,0,0,0,0,0,0,0,NA,NA,0
