player,pos,team,overallRank,projections,projectedPtsMean,projectedPtsMedian,pick,sdPts,sdPick,risk,positionRank,vor
Austin Seferian-Jenkins,TE,RIA,195,55.85008367,55.37,55.85008367,192.1,20.26351401,32.5,7.28892988,35,-49.92505543
Andre Roberts,WR,WAS,196,73.6434623,71.70142857,73.6434623,193.7,11.27733188,23.8,5.27866711,77,-50.3180056
Jonathan Grimes,RB,HOU,197,67.55002562,70.82285714,67.55002562,169.3,23.07573452,40.6,8.476587993,63,-50.47872851
Mohamed Sanu,WR,CIN,198,73.13110085,72.83914286,73.13110085,176.6,8.086191346,25.6,5.072666468,78,-50.83036704
Jacquizz Rodgers,RB,ATL,199,66.97560069,66.48571429,66.97560069,180.9,13.84791544,15.8,4.764252564,64,-51.05315344
Jeff Cumberland,TE,NYJ,200,54.34985264,54.03666667,54.34985264,NA,11.39135637,NA,4.022415294,36,-51.42528647
Eli Manning,QB,NYG,201,269.3714177,268.0614286,269.3714177,139.4,17.34553037,13.7652,4.983604673,23,-51.58258659
Brandon Pettigrew,TE,DET,202,53.1,51.68333333,53.1,197,6.552455011,1,2.328580258,37,-52.6751391
Chris Givens,WR,STL,203,71.28381483,71.17914286,71.28381483,182.3,31.88928862,53,10.84991399,79,-52.67765307
Jermichael Finley,TE,FA,204,52.65,52.65,52.65,159.5,7.72031951,5.5,2.939812705,38,-53.1251391
Brandon LaFell,WR,NE,205,70.42479629,64.39428571,70.42479629,179.2,20.76744247,47.1,8.867496091,80,-53.53667161
Steve Johnson,WR,SF,206,68.55,69.8,68.55,164.6,15.8068656,23.9,5.846836111,81,-55.4114679
Jermaine Kearse,WR,SEA,207,68.26034924,66.64285714,68.26034924,178.7,16.76592349,17.5,5.300165863,82,-55.70111866
Owen Daniels,TE,BAL,208,50.04980057,48.76285714,50.04980057,199.5,12.54591567,35.6,6.660557856,39,-55.72533853
Nate Burleson,WR,CLE,209,67.58909573,66.72,67.58909573,208,11.44529431,40.4,7.023602543,83,-56.37237217
Anthony Fasano,TE,KC,210,49.30004514,50.37,49.30004514,NA,7.731084443,NA,3.120939025,40,-56.47509396
Eddie Royal,WR,SD,211,66.81755601,65.00771429,66.81755601,193.3,17.88002783,2.1,3.837753145,84,-57.14391189
Donald Brown,RB,SD,212,60.67551621,62.44571429,60.67551621,160.1,11.57920961,20.9,5.014616602,65,-57.35323793
Andrew Quarless,TE,GB,213,47.80001275,48.16285714,47.80001275,135,21.81684583,0,4.104417826,41,-57.97512636
Marcel Reece,RB,OAK,214,59.90638469,57.30666667,59.90638469,185.7,5.166817202,9.7,3.06162241,66,-58.12236944
Adrien Robinson,TE,NYG,215,46.00016059,44.638,46.00016059,186,19.14436523,8,4.606284429,42,-59.77497851
Stevie Johnson,WR,SF,216,63.85,63.85,63.85,NA,2.899137803,NA,1.930894865,85,-60.1114679
Jerome Simpson,WR,MIN,217,63.60028952,62.02285714,63.60028952,NA,15.73817016,NA,5.092977688,86,-60.36117837
Dallas Clark,TE,NA,218,45.4,45.4,45.4,NA,NA,NA,NA,43,-60.3751391
Earl Bennett,WR,CLE,219,63.55,63.55,63.55,NA,17.88980156,NA,5.622895871,87,-60.4114679
Luke Willson,TE,SEA,220,45.025,44.89166667,45.025,NA,14.97205731,NA,4.904294287,44,-60.7501391
