"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"JONATHANDWYER","Jonathan Dwyer","RB","ARI",94,283,NA,NA,NA,NA,NA,NA,NA,62.5,254.5,4.1,0.5,6.5,48.5,7.5,0,NA,0.5,21
"SHAUNDRAUGHN","Shaun Draughn","RB","CHI",94,283,NA,NA,NA,NA,NA,NA,NA,45,196.5,4.4,1,9.5,73,7.7,0,NA,0,21
"JACKIEBATTLE","Jackie Battle","RB","TEN",97,286,NA,NA,NA,NA,NA,NA,NA,45.5,182.5,4,1,2.5,19.5,7.8,0,NA,0,18
"CHARLESSIMS","Charles Sims","RB","TB",97,286,NA,NA,NA,NA,NA,NA,NA,32.5,141,4.3,0.5,13.5,119.5,8.9,1,NA,1,18
"JORDANPALMER","Jordan Palmer","QB","CHI",43,288,79.5,46.5,539.5,1,1.5,58.5,6.8,3,7.5,2.5,0,NA,NA,NA,NA,NA,0.5,16
"ZACHMETTENBERGER","Zach Mettenberger","QB","TEN",44,289,39,23.5,283,2.5,2,60.3,7.3,2,1.5,0.8,0,NA,NA,NA,NA,NA,0.5,14
"CHARLIEWHITEHURST","Charlie Whitehurst","QB","TEN",45,290,52.5,30,302.5,2,2,57.1,5.8,7.5,17.5,2.3,0,NA,NA,NA,NA,NA,1,11
"MARKSANCHEZ","Mark Sanchez","QB","PHI",45,290,27,17,184,1.5,0,63,6.8,3.5,5,1.4,0,NA,NA,NA,NA,NA,0,11
"DEREKANDERSON","Derek Anderson","QB","CAR",47,292,17,11,122,1.5,0.5,64.7,7.2,1.5,5.5,3.7,0,NA,NA,NA,NA,NA,0,10
"JOSHFREEMAN","Josh Freeman","QB","NYG",48,293,18.5,11,138.5,1,0,59.5,7.5,2,11,5.5,0,NA,NA,NA,NA,NA,0,8
"MATTFLYNN","Matt Flynn","QB","GB",48,293,19,12,143.5,1,0,63.2,7.6,2.5,10,4,0,NA,NA,NA,NA,NA,0,8
"BLAINEGABBERT","Blaine Gabbert","QB","SF",48,293,16.5,10.5,122,1,0,63.6,7.4,1.5,5.5,3.7,0,NA,NA,NA,NA,NA,0,8
"BRANDONWEEDEN","Brandon Weeden","QB","DAL",51,296,46.5,28,315,1,1.5,60.2,6.8,1,1,1,0,NA,NA,NA,NA,NA,0.5,6
"MATTMOORE","Matt Moore","QB","MIA",52,297,38.5,22.5,238.5,1,1,58.4,6.2,2,4.5,2.2,0,NA,NA,NA,NA,NA,1,5
"JASONCAMPBELL","Jason Campbell","QB","CIN",53,298,17.5,9.5,123,0,0.5,54.3,7,0.5,1,2,0,NA,NA,NA,NA,NA,0,1
"BROCKOSWEILER","Brock Osweiler","QB","DEN",54,299,3,2,27,0,0,66.7,9,1,0,0,0,NA,NA,NA,NA,NA,0,0
