"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"JULIANEDELMAN","Julian Edelman","WR","NE",27,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,1037.5,11.3,5.5,NA,1,127
"FREDJACKSON","Fred Jackson","RB","BUF",31,96,NA,NA,NA,NA,NA,NA,NA,169.5,718,4.2,6,39.5,342.5,8.7,0.5,NA,1.5,126
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",30,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.5,986.5,13.6,6,NA,0.5,126
"PIERRETHOMAS","Pierre Thomas","RB","NO",32,98,NA,NA,NA,NA,NA,NA,NA,160,647.5,4,4,56.5,393.5,7,2.5,NA,1,125
"KENDALLWRIGHT","Kendall Wright","WR","TEN",31,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.5,1046.5,11.8,5,NA,1,125
"TERRANCEWEST","Terrance West","RB","CLE",33,100,NA,NA,NA,NA,NA,NA,NA,182,833,4.6,5.5,23,199,8.7,0.5,NA,0,124
"MAURICEJONESDREW","Maurice Jones-Drew","RB","OAK",33,100,NA,NA,NA,NA,NA,NA,NA,219.5,867.5,4,4.5,33,252,7.6,0.5,NA,1,124
"MARQUESCOLSTON","Marques Colston","WR","NO",32,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.5,961.5,12.7,6,NA,0.5,124
"JASONWITTEN","Jason Witten","TE","DAL",5,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.5,897.5,11.1,6.5,NA,0,121
"TYHILTON","T.Y. Hilton","WR","IND",33,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.5,917,14,6,NA,0.5,120
"ERICDECKER","Eric Decker","WR","NYJ",34,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.5,936.5,14.1,6,NA,1,119
"ANDREWILLIAMS","Andre Williams","RB","NYG",35,106,NA,NA,NA,NA,NA,NA,NA,175,785.5,4.5,7.5,8,65,8.1,0,NA,0.5,118
"STEVENJACKSON","Steven Jackson","RB","ATL",36,107,NA,NA,NA,NA,NA,NA,NA,180.5,742,4.1,6,28.5,179.5,6.3,1,NA,1,117
"SAMMYWATKINS","Sammy Watkins","WR","BUF",35,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.5,866,15.1,6.5,NA,1,117
"BRANDINCOOKS","Brandin Cooks","WR","NO",35,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.5,899,14.9,6,NA,1,117
"DENNISPITTA","Dennis Pitta","TE","BAL",6,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.5,828,12.6,7,NA,0,117
"RUEBENRANDLE","Rueben Randle","WR","NYG",37,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,831,13.4,7,NA,0.5,116
"KELVINBENJAMIN","Kelvin Benjamin","WR","CAR",38,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,821.5,14.7,6.5,NA,1,113
"JORDANCAMERON","Jordan Cameron","TE","CLE",7,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.5,892,12,5.5,NA,0.5,113
"MIKEEVANS","Mike Evans","WR","TB",39,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.5,787.5,14.7,7,NA,0.5,112
"REGGIEWAYNE","Reggie Wayne","WR","IND",40,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.5,920.5,12.7,4.5,NA,0,111
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",37,116,NA,NA,NA,NA,NA,NA,NA,179,754.5,4.2,4.5,25,203.5,8.1,1,NA,1.5,110
"DEVONTAFREEMAN","Devonta Freeman","RB","ATL",37,116,NA,NA,NA,NA,NA,NA,NA,132,646.5,4.9,3,41.5,355.5,8.6,1.5,NA,1,110
"BERNARDPIERCE","Bernard Pierce","RB","BAL",39,118,NA,NA,NA,NA,NA,NA,NA,166,745,4.5,5.5,18,138.5,7.7,0.5,NA,0,108
"JORDANREED","Jordan Reed","TE","WAS",8,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.5,780,12.1,6.5,NA,0,108
"DANNYWOODHEAD","Danny Woodhead","RB","SD",40,120,NA,NA,NA,NA,NA,NA,NA,79.5,347,4.4,1.5,62.5,565,9,4,NA,1,107
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",9,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.5,727.5,11.5,7,NA,0,107
"ZACHERTZ","Zach Ertz","TE","PHI",9,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,769,12.2,6.5,NA,0.5,107
"JUSTINHUNTER","Justin Hunter","WR","TEN",41,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,808,16.3,5.5,NA,0,106
"RILEYCOOPER","Riley Cooper","WR","PHI",42,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,794.5,14.7,5.5,NA,0.5,103
"GREGOLSEN","Greg Olsen","TE","CAR",11,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.5,794,11.3,5.5,NA,0.5,103
"CARLOSHYDE","Carlos Hyde","RB","SF",41,126,NA,NA,NA,NA,NA,NA,NA,152.5,681.5,4.5,6,14.5,107,7.4,0.5,NA,1,101
"JARRETTBOYKIN","Jarrett Boykin","WR","GB",43,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.5,776.5,13.5,5.5,NA,0.5,101
"BLAKEBORTLES","Blake Bortles","QB","JAC",33,128,218,131.5,1506.5,9,6.5,60.3,6.9,20.5,73.5,3.6,1.5,NA,NA,NA,NA,NA,2,100
"KHIRYROBINSON","Khiry Robinson","RB","NO",42,128,NA,NA,NA,NA,NA,NA,NA,142,664.5,4.7,6,15.5,113,7.3,0,NA,0,100
"JEREMYHILL","Jeremy Hill","RB","CIN",42,128,NA,NA,NA,NA,NA,NA,NA,153,695.5,4.5,5.5,10.5,75.5,7.2,0.5,NA,0.5,100
"KENNYSTILLS","Kenny Stills","WR","NO",44,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,766.5,17.4,5.5,NA,0.5,100
"CHRISTINEMICHAEL","Christine Michael","RB","SEA",44,132,NA,NA,NA,NA,NA,NA,NA,147.5,723,4.9,4.5,11,93,8.5,0.5,NA,1,97
"DWAYNEBOWE","Dwayne Bowe","WR","KC",45,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.5,799.5,12.6,4.5,NA,0.5,97
"DOUGBALDWIN","Doug Baldwin","WR","SEA",45,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,789.5,14.1,4.5,NA,0.5,97
"HAKEEMNICKS","Hakeem Nicks","WR","IND",47,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,737.5,14.9,5,NA,0,96
"RODSTREATER","Rod Streater","WR","OAK",47,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,797,13.7,4.5,NA,1,96
"HARRYDOUGLAS","Harry Douglas","WR","ATL",47,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.5,834,12.4,3.5,NA,0.5,96
"HEATHMILLER","Heath Miller","TE","PIT",12,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,699,11.5,6,NA,1,96
"TOMSAVAGE","Tom Savage","QB","HOU",34,139,236,135.5,1624,9.5,9,57.4,6.9,13,26.5,2,0,NA,NA,NA,NA,NA,1.5,95
"TAVONAUSTIN","Tavon Austin","WR","STL",50,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5,658.5,13.6,4.5,NA,1.5,95
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",50,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5,741.5,15.3,5,NA,0.5,95
"LADARIUSGREEN","Ladarius Green","TE","SD",13,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,703,14.8,5.5,NA,0,95
"CECILSHORTS","Cecil Shorts","WR","JAC",52,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5,802,13.5,3.5,NA,0,94
"BRIANHARTLINE","Brian Hartline","WR","MIA",52,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,946,13.3,1.5,NA,1,94
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",14,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.5,722.5,11.9,5,NA,0.5,94
"DEANDREHOPKINS","DeAndre Hopkins","WR","HOU",54,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,747,12.7,4.5,NA,0.5,92
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","PIT",45,147,NA,NA,NA,NA,NA,NA,NA,146,645,4.4,5.5,14.5,110,7.6,0,NA,1.5,91
"ANTONIOGATES","Antonio Gates","TE","SD",15,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.5,732.5,11.2,4.5,NA,0.5,91
"DARRENSPROLES","Darren Sproles","RB","PHI",46,149,NA,NA,NA,NA,NA,NA,NA,67,287.5,4.3,1.5,64.5,522,8.1,3,NA,0.5,90
"CHRISIVORY","Chris Ivory","RB","NYJ",46,149,NA,NA,NA,NA,NA,NA,NA,161.5,695,4.3,5,3,16,5.3,0,NA,1.5,90
"KNOWSHONMORENO","Knowshon Moreno","RB","MIA",48,151,NA,NA,NA,NA,NA,NA,NA,144,587.5,4.1,3.5,27,221.5,8.2,1,NA,1.5,88
"KENNYBRITT","Kenny Britt","WR","STL",55,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,676.5,14.4,4.5,NA,0,87
"CHARLESCLAY","Charles Clay","TE","MIA",16,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.5,634.5,12.1,5,NA,1,87
"DELANIEWALKER","Delanie Walker","TE","TEN",16,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,605.5,10.4,6,NA,0.5,87
"STEVESMITH","Steve Smith","WR","BAL",56,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,690.5,12.8,4.5,NA,1.5,86
"MARQISELEE","Marqise Lee","WR","JAC",56,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.5,678,14.6,4.5,NA,1,86
"GREGJENNINGS","Greg Jennings","WR","MIN",58,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,668,12.4,4.5,NA,0.5,85
"MARKUSWHEATON","Markus Wheaton","WR","PIT",59,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,683.5,15.2,4,NA,0.5,83
"DANNYAMENDOLA","Danny Amendola","WR","NE",59,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,678.5,11.5,4,NA,0.5,83
"STEPFANTAYLOR","Stepfan Taylor","RB","ARI",49,160,NA,NA,NA,NA,NA,NA,NA,142.5,623.5,4.4,4.5,11,88.5,8,0,NA,1,82
"ANDREWHAWKINS","Andrew Hawkins","WR","CLE",61,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5,647,12.6,4,NA,0,82
"ROBERTWOODS","Robert Woods","WR","BUF",61,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,695,13.1,3.5,NA,0.5,82
"ERICEBRON","Eric Ebron","TE","DET",18,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5,573.5,13.5,5.5,NA,0,82
"DWAYNEALLEN","Dwayne Allen","TE","IND",18,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,575,12.5,5.5,NA,0,82
"JAMESJONES","James Jones","WR","OAK",63,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5,643.5,12.5,4,NA,0,81
"MICHAELVICK","Michael Vick","QB","NYJ",35,166,160,96,1046,6.5,4.5,60,6.5,33.5,176.5,5.3,1.5,NA,NA,NA,NA,NA,1.5,80
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",64,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5,659.5,13.6,4,NA,1.5,80
"ANDREHOLMES","Andre Holmes","WR","OAK",64,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,622.5,15.6,4.5,NA,0,80
"MARVINJONES","Marvin Jones","WR","CIN",64,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,606.5,14.4,5,NA,1,80
"JAREDCOOK","Jared Cook","TE","STL",20,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,576.5,12.1,5,NA,1,78
"DEXTERMCCLUSTER","Dexter McCluster","RB","TEN",50,171,NA,NA,NA,NA,NA,NA,NA,72.5,325,4.5,1,49.5,433.5,8.8,2,NA,1.5,76
"TREMASON","Tre Mason","RB","STL",50,171,NA,NA,NA,NA,NA,NA,NA,119,530.5,4.5,2,31.5,250.5,8,0.5,NA,1,76
"JONATHANGRIMES","Jonathan Grimes","RB","HOU",50,171,NA,NA,NA,NA,NA,NA,NA,121.5,534,4.4,4,16,120,7.5,0.5,NA,1,76
"MARKINGRAM","Mark Ingram","RB","NO",50,171,NA,NA,NA,NA,NA,NA,NA,126,554.5,4.4,5,6,41.5,6.9,0,NA,1,76
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",67,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,628.5,12.3,3.5,NA,0,76
"ODELLBECKHAM","Odell Beckham","WR","NYG",67,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,599,15,4,NA,0.5,76
"GARRETTGRAHAM","Garrett Graham","TE","HOU",21,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,544.5,11.5,4.5,NA,0,74
"SHONNGREENE","Shonn Greene","RB","TEN",54,178,NA,NA,NA,NA,NA,NA,NA,123.5,518.5,4.2,4.5,11,81.5,7.4,0,NA,1,73
"MALCOMFLOYD","Malcom Floyd","WR","SD",69,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5,589,14.2,4,NA,0.5,73
"NATEWASHINGTON","Nate Washington","WR","TEN",70,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5,603.5,13.9,3.5,NA,0.5,72
"MILESAUSTIN","Miles Austin","WR","CLE",70,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,596,12.7,3.5,NA,0.5,72
"JOHNBROWN","John Brown","WR","ARI",70,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,608.5,16.2,3,NA,0,72
"MARCEDESLEWIS","Marcedes Lewis","TE","JAC",22,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5,490,12.1,5,NA,0,71
"JACEAMARO","Jace Amaro","TE","NYJ",23,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,538,14.5,4,NA,0,70
"JAMESWHITE","James White","RB","NE",55,185,NA,NA,NA,NA,NA,NA,NA,94,462.5,4.9,3,21.5,182,8.5,0.5,NA,0,69
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",55,185,NA,NA,NA,NA,NA,NA,NA,96,424,4.4,4,18,156,8.7,1,NA,1,69
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",73,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5,601,13.2,3,NA,1,69
"DAVANTEADAMS","Davante Adams","WR","GB",74,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,536.5,15.1,4,NA,1,68
"LANCEMOORE","Lance Moore","WR","PIT",74,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,619,12.5,2.5,NA,0,68
"SCOTTCHANDLER","Scott Chandler","TE","BUF",24,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5,538.5,11.8,4,NA,1,68
"MIKEWILLIAMS","Mike Williams","WR","BUF",76,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,583.5,13.6,3,NA,0.5,67
"DONNIEAVERY","Donnie Avery","WR","KC",76,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.5,603.5,13.6,2.5,NA,0,67
"KNILEDAVIS","Knile Davis","RB","KC",57,193,NA,NA,NA,NA,NA,NA,NA,101,497.5,4.9,2.5,14,128.5,9.2,0.5,NA,0.5,66
"MYCHALRIVERA","Mychal Rivera","TE","OAK",25,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,493.5,11.2,4,NA,0,65
"ANDREROBERTS","Andre Roberts","WR","WAS",78,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,578.5,11.1,2.5,NA,0.5,64
"BRANDONLAFELL","Brandon LaFell","WR","NE",78,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,520,15.1,3.5,NA,0.5,64
"TYLEREIFERT","Tyler Eifert","TE","CIN",26,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,502.5,13.4,3.5,NA,0,64
"TRAVISKELCE","Travis Kelce","TE","KC",26,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,514,13.9,3.5,NA,0.5,64
"JEROMESIMPSON","Jerome Simpson","WR","MIN",80,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,569.5,14.8,2.5,NA,1,62
"LANCEDUNBAR","Lance Dunbar","RB","DAL",58,200,NA,NA,NA,NA,NA,NA,NA,73.5,322,4.4,1.5,34.5,294.5,8.5,1,NA,0,61
"AARONDOBSON","Aaron Dobson","WR","NE",81,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,511,14.2,3,NA,0,61
"TIMOTHYWRIGHT","Timothy Wright","TE","TB",28,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,419.5,11.7,4.5,NA,0,61
"STEVEJOHNSON","Steve Johnson","WR","SF",82,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5,558,12.8,2.5,NA,1,60
"DENARIUSMOORE","Denarius Moore","WR","OAK",82,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5,524,16.1,3,NA,1.5,60
"JAMESSTARKS","James Starks","RB","GB",59,205,NA,NA,NA,NA,NA,NA,NA,105.5,477.5,4.5,3,13,111,8.5,0,NA,1,59
"KENBRELLTHOMPKINS","Kenbrell Thompkins","WR","NE",84,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,492,14.5,3,NA,0,59
"BRIANQUICK","Brian Quick","WR","STL",84,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,492,14.1,3,NA,0,59
"BRENTCELEK","Brent Celek","TE","PHI",29,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,464.5,12.2,3.5,NA,0.5,59
"LEVINETOILOLO","Levine Toilolo","TE","ATL",30,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5,422.5,13,4,NA,0,58
"CHRISGIVENS","Chris Givens","WR","STL",86,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,534,14.8,2,NA,0.5,57
"COBYFLEENER","Coby Fleener","TE","IND",31,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,447.5,12.6,3.5,NA,0,57
"MIKETOLBERT","Mike Tolbert","RB","CAR",60,212,NA,NA,NA,NA,NA,NA,NA,82,303.5,3.7,3.5,22.5,151,6.7,1,NA,0,55
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",60,212,NA,NA,NA,NA,NA,NA,NA,106.5,436.5,4.1,2,19.5,158.5,8.1,0.5,NA,1.5,55
"DEREKCARR","Derek Carr","QB","OAK",36,214,158,99.5,1070,5.5,5,63,6.8,8,19.5,2.4,0,NA,NA,NA,NA,NA,2,54
"MARTAVISBRYANT","Martavis Bryant","WR","PIT",87,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,436.5,17.1,3,NA,0,54
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",32,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,432.5,11.4,3.5,NA,1.5,54
"ZACHMILLER","Zach Miller","TE","SEA",32,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,371.5,11.8,4,NA,0,54
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",62,218,NA,NA,NA,NA,NA,NA,NA,89,378.5,4.3,2,18,135,7.5,1,NA,0.5,53
"ROYHELU","Roy Helu","RB","WAS",62,218,NA,NA,NA,NA,NA,NA,NA,78.5,327.5,4.2,1,37,296.5,8,0.5,NA,1,53
"NATEBURLESON","Nate Burleson","WR","CLE",88,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5,488,11.8,2,NA,0,53
"DONALDBROWN","Donald Brown","RB","SD",64,221,NA,NA,NA,NA,NA,NA,NA,88,391.5,4.4,2,16.5,140.5,8.5,0.5,NA,0,52
"ALLENROBINSON","Allen Robinson","WR","JAC",89,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,474.5,14.8,2.5,NA,1,52
"AUSTINPETTIS","Austin Pettis","WR","STL",89,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,389.5,11,3.5,NA,0,52
"PAULRICHARDSON","Paul Richardson","WR","SEA",91,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,441.5,19.2,2.5,NA,0,51
"JARVISLANDRY","Jarvis Landry","WR","MIA",91,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5,428,12.8,3,NA,0.5,51
"BRANDONGIBSON","Brandon Gibson","WR","MIA",91,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,477.5,11.6,2,NA,0,51
"BRIANHOYER","Brian Hoyer","QB","CLE",37,227,114.5,67.5,740.5,7,5,59,6.5,8,23.5,2.9,0,NA,NA,NA,NA,NA,1.5,50
"JUNIORHEMINGWAY","Junior Hemingway","WR","KC",94,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,389,13,3,NA,0,49
"ADRIENROBINSON","Adrien Robinson","TE","NYG",34,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,424.5,13.3,2.5,NA,0,49
"AUSTINSEFERIANJENKINS","Austin Seferian-Jenkins","TE","TB",34,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,354,11.8,3.5,NA,0,49
"JERICKMCKINNON","Jerick McKinnon","RB","MIN",65,231,NA,NA,NA,NA,NA,NA,NA,61.5,276,4.5,1.5,25,217.5,8.7,1,NA,0.5,48
"TRAVARISCADET","Travaris Cadet","RB","NO",65,231,NA,NA,NA,NA,NA,NA,NA,46,224.5,4.9,0.5,34.5,271,7.9,2,NA,0,48
"MARQUISEGOODWIN","Marquise Goodwin","WR","BUF",95,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,373.5,16.2,3,NA,0.5,48
"JASONAVANT","Jason Avant","WR","CAR",95,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,421,12,2.5,NA,0.5,48
"COLEBEASLEY","Cole Beasley","WR","DAL",95,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,407,11,2.5,NA,0,48
"MARLONBROWN","Marlon Brown","WR","BAL",95,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,437.5,12.9,2,NA,0,48
"ROBERTTURBIN","Robert Turbin","RB","SEA",67,237,NA,NA,NA,NA,NA,NA,NA,83,385.5,4.6,2,13,118.5,9.1,0,NA,0.5,47
"JEFFCUMBERLAND","Jeff Cumberland","TE","NYJ",36,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,386.5,12.3,2.5,NA,0,46
"OWENDANIELS","Owen Daniels","TE","BAL",36,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5,391.5,11.7,2.5,NA,0,46
"THADLEWIS","Thad Lewis","QB","BUF",38,240,129.5,77.5,837.5,3.5,1.5,59.8,6.5,8,18,2.2,0,NA,NA,NA,NA,NA,1,44
"BRANDONBOSTICK","Brandon Bostick","TE","GB",38,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,337,15,3,NA,0.5,44
"ANDREWQUARLESS","Andrew Quarless","TE","GB",39,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,335.5,12.4,3,NA,0,43
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",68,243,NA,NA,NA,NA,NA,NA,NA,70.5,279.5,4,0.5,28.5,207.5,7.3,1.5,NA,1,42
"CJANDERSON","C.J. Anderson","RB","DEN",68,243,NA,NA,NA,NA,NA,NA,NA,77.5,327,4.2,2,9.5,79,8.3,0.5,NA,0.5,42
"MARCUSLATTIMORE","Marcus Lattimore","RB","SF",68,243,NA,NA,NA,NA,NA,NA,NA,72.5,332,4.6,2.5,6.5,58,8.9,0,NA,0,42
"ANTHONYFASANO","Anthony Fasano","TE","KC",40,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,303,10.6,3.5,NA,0,42
"DRIARCHER","Dri Archer","RB","PIT",71,247,NA,NA,NA,NA,NA,NA,NA,32.5,162.5,5,1,26,261,10,1.5,NA,0.5,41
"MARCELREECE","Marcel Reece","RB","OAK",71,247,NA,NA,NA,NA,NA,NA,NA,39.5,179.5,4.5,2,26.5,236.5,8.9,0.5,NA,0,41
"EDDICKSON","Ed Dickson","TE","CAR",41,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,363.5,10.7,2,NA,0,40
