"name","name_cbs2","pos","team_cbs2","positionRank_cbs2","overallRank_cbs2","passAtt_cbs2","passComp_cbs2","passYds_cbs2","passTds_cbs2","passInt_cbs2","passCompPct_cbs2","passYdsPerAtt_cbs2","rushAtt_cbs2","rushYds_cbs2","rushYdsPerAtt_cbs2","rushTds_cbs2","rec_cbs2","recYds_cbs2","recYdsPerRec_cbs2","recTds_cbs2","twoPts_cbs2","fumbles_cbs2","pts_cbs2"
"VINCENTBROWN","Vincent Brown","WR","SD",105,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,351,13.5,1,NA,0,33
"MIKEBROWN","Mike Brown","WR","JAC",105,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,349,13.4,1,NA,0,33
"COLEBEASLEY","Cole Beasley","WR","DAL",105,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,302,11.6,2,NA,0,33
"STEPHENHILL","Stephen Hill","WR","NYJ",105,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,290,12.6,2,NA,0,33
"MIKEJAMES","Mike James","RB","TB",75,265,NA,NA,NA,NA,NA,NA,NA,62,275,4.4,2,10,62,6.2,0,NA,1,32
"BRANDONMYERS","Brandon Myers","TE","TB",44,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,279,10.7,2,NA,0,32
"MIKEGLENNON","Mike Glennon","QB","TB",40,267,78,47,602,3,2,60.3,7.7,12,40,3.3,0,NA,NA,NA,NA,NA,0,31
"DENARDROBINSON","Denard Robinson","RB","JAC",76,267,NA,NA,NA,NA,NA,NA,NA,77,333,4.3,1,6,51,8.5,0,NA,1,31
"SHAUNDRAUGHN","Shaun Draughn","RB","CHI",76,267,NA,NA,NA,NA,NA,NA,NA,67,295,4.4,1,13,103,7.9,0,NA,0,31
"MARLONBROWN","Marlon Brown","WR","BAL",109,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,321,12.8,1,NA,0,31
"JASONAVANT","Jason Avant","WR","CAR",110,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,286,11.4,2,NA,1,30
"EDDIEROYAL","Eddie Royal","WR","SD",110,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,370,11.6,0,NA,0,30
"ANDREWQUARLESS","Andrew Quarless","TE","GB",45,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,260,12.4,2,NA,0,30
"CHARLIEWHITEHURST","Charlie Whitehurst","QB","TEN",41,274,105,60,605,4,4,57.1,5.8,15,35,2.3,0,NA,NA,NA,NA,NA,2,29
"BENJARVUSGREENELLIS","BenJarvus Green-Ellis","RB","CIN",78,274,NA,NA,NA,NA,NA,NA,NA,68,261,3.8,2,5,30,6,0,NA,1,29
"TIQUANUNDERWOOD","Tiquan Underwood","WR","CAR",112,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,317,18.6,1,NA,0,29
"AUSTINSEFERIANJENKINS","Austin Seferian-Jenkins","TE","TB",46,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,251,10.5,2,NA,0,29
"DUJUANHARRIS","DuJuan Harris","RB","GB",79,278,NA,NA,NA,NA,NA,NA,NA,63,267,4.2,1,13,87,6.7,0,NA,0,28
"ALFREDBLUE","Alfred Blue","RB","HOU",79,278,NA,NA,NA,NA,NA,NA,NA,52,215,4.1,2,7,55,7.9,0,NA,0,28
"CJANDERSON","C.J. Anderson","RB","DEN",81,280,NA,NA,NA,NA,NA,NA,NA,68,277,4.1,1,4,45,11.2,0,NA,0,27
"BILALPOWELL","Bilal Powell","RB","NYJ",81,280,NA,NA,NA,NA,NA,NA,NA,64,250,3.9,0,14,101,7.2,1,NA,0,27
"LATAVIUSMURRAY","Latavius Murray","RB","OAK",81,280,NA,NA,NA,NA,NA,NA,NA,56,217,3.9,2,5,34,6.8,0,NA,0,27
"PEYTONHILLIS","Peyton Hillis","RB","NYG",81,280,NA,NA,NA,NA,NA,NA,NA,66,243,3.7,1,14,82,5.9,0,NA,0,27
"JALENSAUNDERS","Jalen Saunders","WR","NYJ",113,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,230,12.8,2,NA,0,27
"ALLENROBINSON","Allen Robinson","WR","JAC",113,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,305,13.9,1,NA,1,27
"GREGLITTLE","Greg Little","WR","OAK",113,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,293,13.3,1,NA,0,27
"JOSHHUFF","Josh Huff","WR","PHI",113,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,274,17.1,1,NA,0,27
"SANTANAMOSS","Santana Moss","WR","WAS",113,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,237,12.5,2,NA,0,27
"THEORIDDICK","Theo Riddick","RB","DET",85,289,NA,NA,NA,NA,NA,NA,NA,61,242,4,1,12,68,5.7,0,NA,0,26
"CHRISPOLK","Chris Polk","RB","PHI",85,289,NA,NA,NA,NA,NA,NA,NA,51,233,4.6,2,6,43,7.2,0,NA,1,26
"DANHERRON","Dan Herron","RB","IND",85,289,NA,NA,NA,NA,NA,NA,NA,77,295,3.8,1,3,25,8.3,0,NA,1,26
"CHRISOWUSU","Chris Owusu","WR","TB",118,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,273,11.4,1,NA,0,26
"CHARLESJOHNSON","Charles Johnson","WR","CLE",118,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,281,14.1,1,NA,0,26
"SHAUNHILL","Shaun Hill","QB","STL",42,294,77,47,480,3,3,61,6.2,5,18,3.6,0,NA,NA,NA,NA,NA,1,24
"ANTHONYDIXON","Anthony Dixon","RB","BUF",88,294,NA,NA,NA,NA,NA,NA,NA,31,136,4.4,3,2,12,6,0,NA,0,24
"MARQUESSWILSON","Marquess Wilson","WR","CHI",120,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,256,14.2,1,NA,0,24
"JOEMORGAN","Joe Morgan","WR","NO",120,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,206,17.2,2,NA,0,24
"ROBERTMEACHEM","Robert Meachem","WR","NO",120,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,269,17.9,1,NA,0,24
"AJJENKINS","A.J. Jenkins","WR","KC",120,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,271,12.9,1,NA,0,24
"KESHAWNMARTIN","Keshawn Martin","WR","HOU",124,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,247,12.3,1,NA,0,23
"JUSTINBROWN","Justin Brown","WR","PIT",124,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,191,11.2,2,NA,0,23
"DREWDAVIS","Drew Davis","WR","ATL",124,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,319,12.8,0,NA,0,23
"RYANBROYLES","Ryan Broyles","WR","DET",124,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,253,11,1,NA,0,23
"KIRKCOUSINS","Kirk Cousins","QB","WAS",43,304,75,44,514,2,2,58.7,6.9,1,2,2,0,NA,NA,NA,NA,NA,0,22
"TRAVISBENJAMIN","Travis Benjamin","WR","CLE",128,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,240,15,1,NA,1,22
"JOSEPHFAURIA","Joseph Fauria","TE","DET",47,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,192,12,2,NA,1,22
"RICARDOLOCKETTE","Ricardo Lockette","WR","SEA",129,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,231,12.8,1,NA,0,21
"CHRISHOGAN","Chris Hogan","WR","BUF",129,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,236,13.9,1,NA,0,21
"JARIUSWRIGHT","Jarius Wright","WR","MIN",129,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,226,13.3,1,NA,0,21
"JUSTINFORSETT","Justin Forsett","RB","BAL",89,310,NA,NA,NA,NA,NA,NA,NA,65,283,4.4,0,1,4,4,0,NA,0,20
"DAVIDAUSBERRY","David Ausberry","TE","OAK",48,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,213,12.5,1,NA,0,20
"JORDANTODMAN","Jordan Todman","RB","JAC",90,312,NA,NA,NA,NA,NA,NA,NA,54,218,4,0,19,144,7.6,0,NA,1,19
"MARCUSHARRIS","Marcus Harris","WR","NYG",132,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,154,14,2,NA,0,19
"ROBHOUSLER","Rob Housler","TE","ARI",49,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,156,12,2,NA,0,19
"DARRELYOUNG","Darrel Young","RB","WAS",91,315,NA,NA,NA,NA,NA,NA,NA,12,50,4.2,2,10,82,8.2,0,NA,0,18
"KEVINNORWOOD","Kevin Norwood","WR","SEA",133,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,193,13.8,1,NA,0,18
"ALDRICKROBINSON","Aldrick Robinson","WR","WAS",133,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,199,18.1,1,NA,0,18
"BRYCEBROWN","Bryce Brown","RB","BUF",92,318,NA,NA,NA,NA,NA,NA,NA,46,201,4.4,1,3,20,6.7,0,NA,1,17
"DAMIANWILLIAMS","Damian Williams","WR","MIA",135,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,251,12.6,0,NA,0,17
"JACOBYFORD","Jacoby Ford","WR","NYJ",135,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,196,10.3,1,NA,1,17
"DONTEMONCRIEF","Donte Moncrief","WR","IND",135,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,186,16.9,1,NA,0,17
"JORDANPALMER","Jordan Palmer","QB","CHI",44,322,70,39,505,1,2,55.7,7.2,4,10,2.5,0,NA,NA,NA,NA,NA,0,16
"DEANTHONYTHOMAS","De'Anthony Thomas","RB","KC",93,322,NA,NA,NA,NA,NA,NA,NA,27,141,5.2,1,11,88,8,0,NA,0,16
"ISAIAHCROWELL","Isaiah Crowell","RB","CLE",94,324,NA,NA,NA,NA,NA,NA,NA,52,210,4,0,5,37,7.4,0,NA,0,15
"KRISDURHAM","Kris Durham","WR","DET",138,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,172,12.3,1,NA,0,15
"RISHARDMATTHEWS","Rishard Matthews","WR","MIA",138,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,164,12.6,1,NA,0,15
"JONATHANDWYER","Jonathan Dwyer","RB","ARI",95,327,NA,NA,NA,NA,NA,NA,NA,58,215,3.7,0,2,10,5,0,NA,0,14
"LORENZOTALIAFERRO","Lorenzo Taliaferro","RB","BAL",95,327,NA,NA,NA,NA,NA,NA,NA,34,150,4.4,1,4,20,5,0,NA,0,14
"CHARLESSIMS","Charles Sims","RB","TB",97,329,NA,NA,NA,NA,NA,NA,NA,31,128,4.1,0,9,63,7,1,NA,1,12
"MIKEGILLISLEE","Mike Gillislee","RB","MIA",97,329,NA,NA,NA,NA,NA,NA,NA,51,206,4,0,3,15,5,0,NA,0,12
"ROBERTHERRON","Robert Herron","WR","TB",140,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,140,10.8,1,NA,0,12
"LOUISMURPHY","Louis Murphy","WR","TB",140,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,206,13.7,0,NA,0,12
"LEONARDHANKERSON","Leonard Hankerson","WR","WAS",142,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,180,12.9,0,NA,0,11
"ANTHONYSHERMAN","Anthony Sherman","RB","KC",99,334,NA,NA,NA,NA,NA,NA,NA,2,2,1,0,14,109,7.8,1,NA,0,10
"MATTASIATA","Matt Asiata","RB","MIN",99,334,NA,NA,NA,NA,NA,NA,NA,31,108,3.5,1,2,8,4,0,NA,0,10
"ANTONESMITH","Antone Smith","RB","ATL",99,334,NA,NA,NA,NA,NA,NA,NA,22,91,4.1,1,0,0,0,0,NA,0,10
"ERIKLORIG","Erik Lorig","RB","NO",99,334,NA,NA,NA,NA,NA,NA,NA,5,17,3.4,0,9,64,7.1,1,NA,0,10
"KYLEJUSZCZYK","Kyle Juszczyk","RB","BAL",103,338,NA,NA,NA,NA,NA,NA,NA,10,39,3.9,0,9,53,5.9,1,NA,0,9
"DANESANZENBACHER","Dane Sanzenbacher","WR","CIN",143,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,167,11.9,0,NA,0,9
"JOHNKUHN","John Kuhn","RB","GB",104,340,NA,NA,NA,NA,NA,NA,NA,11,40,3.6,1,6,41,6.8,0,NA,0,8
"JOSEPHRANDLE","Joseph Randle","RB","DAL",104,340,NA,NA,NA,NA,NA,NA,NA,41,155,3.8,0,5,25,5,0,NA,0,8
"DERRICKCOLEMAN","Derrick Coleman","RB","SEA",104,340,NA,NA,NA,NA,NA,NA,NA,1,3,3,0,7,54,7.7,1,NA,0,8
"MARKSANCHEZ","Mark Sanchez","QB","PHI",45,343,10,7,86,1,0,70,8.6,4,1,0.2,0,NA,NA,NA,NA,NA,0,7
"JEDCOLLINS","Jed Collins","RB","DET",107,343,NA,NA,NA,NA,NA,NA,NA,3,8,2.7,1,9,35,3.9,0,NA,0,7
"BRANDONBOLDEN","Brandon Bolden","RB","NE",107,343,NA,NA,NA,NA,NA,NA,NA,37,156,4.2,0,0,0,0,0,NA,0,7
"JARONBROWN","Jaron Brown","WR","ARI",144,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,150,15,0,NA,0,7
"GRIFFWHALEN","Griff Whalen","WR","IND",144,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,156,12,0,NA,0,7
"CEDRICPEERMAN","Cedric Peerman","RB","CIN",109,348,NA,NA,NA,NA,NA,NA,NA,15,73,4.9,0,10,79,7.9,0,NA,0,6
"DARYLRICHARDSON","Daryl Richardson","RB","NYJ",109,348,NA,NA,NA,NA,NA,NA,NA,15,65,4.3,0,10,77,7.7,0,NA,0,6
"MICHAELFORD","Michael Ford","RB","CHI",109,348,NA,NA,NA,NA,NA,NA,NA,28,117,4.2,0,3,20,6.7,0,NA,0,6
"CHRISOGBONNAYA","Chris Ogbonnaya","RB","CLE",109,348,NA,NA,NA,NA,NA,NA,NA,24,95,4,0,12,81,6.8,0,NA,1,6
"DAVIDNELSON","David Nelson","WR","NYJ",146,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,140,11.7,0,NA,0,6
"TJJONES","T.J. Jones","WR","DET",146,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,131,14.6,0,NA,0,6
"BRUCEMILLER","Bruce Miller","RB","SF",113,354,NA,NA,NA,NA,NA,NA,NA,6,22,3.7,0,14,94,6.7,0,NA,0,5
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",113,354,NA,NA,NA,NA,NA,NA,NA,39,153,3.9,0,2,15,7.5,0,NA,1,5
"KENJONBARNER","Kenjon Barner","RB","CAR",113,354,NA,NA,NA,NA,NA,NA,NA,26,113,4.3,0,0,0,0,0,NA,0,5
"STORMJOHNSON","Storm Johnson","RB","JAC",116,357,NA,NA,NA,NA,NA,NA,NA,21,92,4.4,0,2,15,7.5,0,NA,0,4
"FRANKSUMMERS","Frank Summers","RB","BUF",116,357,NA,NA,NA,NA,NA,NA,NA,9,35,3.9,0,9,69,7.7,0,NA,0,4
"LEONWASHINGTON","Leon Washington","RB","TEN",118,359,NA,NA,NA,NA,NA,NA,NA,5,25,5,0,3,27,9,0,NA,0,2
"LAMICHAELJAMES","LaMichael James","RB","SF",118,359,NA,NA,NA,NA,NA,NA,NA,11,41,3.7,0,4,27,6.8,0,NA,0,2
"EDWINBAKER","Edwin Baker","RB","CLE",118,359,NA,NA,NA,NA,NA,NA,NA,12,55,4.6,0,0,0,0,0,NA,0,2
"JACKIEBATTLE","Jackie Battle","RB","TEN",118,359,NA,NA,NA,NA,NA,NA,NA,14,54,3.9,0,0,0,0,0,NA,0,2
"CYRUSGRAY","Cyrus Gray","RB","KC",118,359,NA,NA,NA,NA,NA,NA,NA,6,26,4.3,0,3,22,7.3,0,NA,0,2
"STANLEYHAVILI","Stanley Havili","RB","IND",118,359,NA,NA,NA,NA,NA,NA,NA,3,9,3,0,7,51,7.3,0,NA,0,2
"JAMESDEVELIN","James Develin","RB","NE",118,359,NA,NA,NA,NA,NA,NA,NA,2,5,2.5,0,8,55,6.9,0,NA,0,2
"TOMMYBOHANON","Tommy Bohanon","RB","NYJ",118,359,NA,NA,NA,NA,NA,NA,NA,2,7,3.5,0,9,54,6,0,NA,0,2
"PATRICKDIMARCO","Patrick DiMarco","RB","ATL",118,359,NA,NA,NA,NA,NA,NA,NA,2,6,3,0,9,48,5.3,0,NA,0,2
"JEROMEFELTON","Jerome Felton","RB","MIN",118,359,NA,NA,NA,NA,NA,NA,NA,2,6,3,0,6,49,8.2,0,NA,0,2
"JASONCAMPBELL","Jason Campbell","QB","CIN",46,369,35,19,246,0,1,54.3,7,1,2,2,0,NA,NA,NA,NA,NA,0,1
"BRANDONWEEDEN","Brandon Weeden","QB","DAL",46,369,35,20,208,0,1,57.1,5.9,0,0,0,0,NA,NA,NA,NA,NA,0,1
"MIGUELMAYSONET","Miguel Maysonet","RB","PIT",128,369,NA,NA,NA,NA,NA,NA,NA,9,38,4.2,0,1,4,4,0,NA,0,1
"TONYFIAMMETTA","Tony Fiammetta","RB","CHI",128,369,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,6,44,7.3,0,NA,0,1
"WILLTAUFOOU","Will Ta'ufo'ou","RB","JAC",128,369,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,7,29,4.1,0,NA,0,1
"WILLJOHNSON","Will Johnson","RB","PIT",128,369,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,8,47,5.9,0,NA,0,1
"LONNIEPRYOR","Lonnie Pryor","RB","TB",128,369,NA,NA,NA,NA,NA,NA,NA,3,9,3,0,4,21,5.2,0,NA,0,1
"HENRYHYNOSKI","Henry Hynoski","RB","NYG",128,369,NA,NA,NA,NA,NA,NA,NA,1,2,2,0,6,35,5.8,0,NA,0,1
"JORVORSKIELANE","Jorvorskie Lane","RB","TB",128,369,NA,NA,NA,NA,NA,NA,NA,5,13,2.6,0,4,24,6,0,NA,0,1
"COLLINMOONEY","Collin Mooney","RB","TEN",135,378,NA,NA,NA,NA,NA,NA,NA,1,2,2,0,3,12,4,0,NA,0,0
"JAYPROSCH","Jay Prosch","RB","HOU",135,378,NA,NA,NA,NA,NA,NA,NA,3,13,4.3,0,2,9,4.5,0,NA,0,0
"SPENCERWARE","Spencer Ware","RB","SEA",135,378,NA,NA,NA,NA,NA,NA,NA,3,10,3.3,0,0,0,0,0,NA,0,0
"TYLERCLUTTS","Tyler Clutts","RB","DAL",135,378,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,10,3.3,0,NA,0,0
