"name","name_cbs2","pos","team_cbs2","positionRank_cbs2","overallRank_cbs2","passAtt_cbs2","passComp_cbs2","passYds_cbs2","passTds_cbs2","passInt_cbs2","passCompPct_cbs2","passYdsPerAtt_cbs2","rushAtt_cbs2","rushYds_cbs2","rushYdsPerAtt_cbs2","rushTds_cbs2","rec_cbs2","recYds_cbs2","recYdsPerRec_cbs2","recTds_cbs2","twoPts_cbs2","fumbles_cbs2","pts_cbs2"
"DEANDREHOPKINS","DeAndre Hopkins","WR","HOU",54,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,712,12.9,5,NA,0,93
"DANNYWOODHEAD","Danny Woodhead","RB","SD",40,143,NA,NA,NA,NA,NA,NA,NA,65,270,4.2,0,57,519,9.1,5,NA,0,92
"ROBERTWOODS","Robert Woods","WR","BUF",56,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,763,12.9,4,NA,0,92
"STEVESMITH","Steve Smith","WR","BAL",57,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,674,13.2,5,NA,0,90
"GREGJENNINGS","Greg Jennings","WR","MIN",57,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,685,13.2,5,NA,0,90
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",16,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,702,11.7,5,NA,1,90
"DELANIEWALKER","Delanie Walker","TE","TEN",17,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,624,10.6,6,NA,1,89
"MARQISELEE","Marqise Lee","WR","JAC",59,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,668,14.5,5,NA,1,88
"MARVINJONES","Marvin Jones","WR","CIN",59,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,659,14,5,NA,1,88
"ERICEBRON","Eric Ebron","TE","DET",18,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,606,12.9,6,NA,0,88
"KENNYBRITT","Kenny Britt","WR","STL",61,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,711,13.7,4,NA,0,87
"JAREDCOOK","Jared Cook","TE","STL",19,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,602,12.8,6,NA,1,86
"DWAYNEALLEN","Dwayne Allen","TE","IND",19,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,585,11.9,6,NA,0,86
"ANDREWHAWKINS","Andrew Hawkins","WR","CLE",62,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,617,13.7,5,NA,0,85
"DEREKCARR","Derek Carr","QB","OAK",34,156,218,135,1529,8,7,61.9,7,12,28,2.3,0,NA,NA,NA,NA,NA,2,83
"CARLOSHYDE","Carlos Hyde","RB","SF",41,156,NA,NA,NA,NA,NA,NA,NA,140,595,4.2,5,11,70,6.4,0,NA,1,83
"MARKUSWHEATON","Markus Wheaton","WR","PIT",63,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,623,12.7,5,NA,0,83
"KHIRYROBINSON","Khiry Robinson","RB","NO",42,159,NA,NA,NA,NA,NA,NA,NA,140,586,4.2,5,10,49,4.9,0,NA,0,82
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",64,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,665,13.6,4,NA,1,81
"DANNYAMENDOLA","Danny Amendola","WR","NE",64,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,614,11.6,5,NA,1,81
"JAMESJONES","James Jones","WR","OAK",64,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,653,11.5,4,NA,0,81
"ODELLBECKHAM","Odell Beckham","WR","NYG",67,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,654,13.9,4,NA,1,80
"DARRENSPROLES","Darren Sproles","RB","PHI",43,164,NA,NA,NA,NA,NA,NA,NA,66,264,4,1,57,455,8,3,NA,0,79
"JEREMYHILL","Jeremy Hill","RB","CIN",43,164,NA,NA,NA,NA,NA,NA,NA,134,580,4.3,5,6,29,4.8,0,NA,1,79
"CHRISTINEMICHAEL","Christine Michael","RB","SEA",45,166,NA,NA,NA,NA,NA,NA,NA,118,595,5,4,14,108,7.7,0,NA,1,78
"STEPFANTAYLOR","Stepfan Taylor","RB","ARI",45,166,NA,NA,NA,NA,NA,NA,NA,151,592,3.9,4,11,80,7.3,0,NA,1,78
"KNOWSHONMORENO","Knowshon Moreno","RB","MIA",45,166,NA,NA,NA,NA,NA,NA,NA,137,553,4,3,22,166,7.5,1,NA,1,78
"MICHAELVICK","Michael Vick","QB","NYJ",35,169,173,102,1115,7,6,59,6.4,22,109,5,2,NA,NA,NA,NA,NA,2,77
"ANDREHOLMES","Andre Holmes","WR","OAK",68,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,608,13.5,4,NA,0,77
"GARRETTGRAHAM","Garrett Graham","TE","HOU",21,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,556,11.1,5,NA,0,77
"MILESAUSTIN","Miles Austin","WR","CLE",69,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,607,11.7,4,NA,0,76
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",69,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,602,10.4,4,NA,0,76
"MARCEDESLEWIS","Marcedes Lewis","TE","JAC",22,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,527,12.5,5,NA,0,74
"BRIANQUICK","Brian Quick","WR","STL",71,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,563,13.1,4,NA,0,73
"LANCEMOORE","Lance Moore","WR","PIT",71,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,627,11.6,3,NA,0,73
"TIMOTHYWRIGHT","Timothy Wright","TE","TB",23,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,505,11,5,NA,0,73
"MALCOMFLOYD","Malcom Floyd","WR","SD",73,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,556,13.2,4,NA,0,71
